rank	gene	description	N	n	npat	nsite	nsil	n1	n2	n3	n4	n5	n6	p_classic	p_ns_s	p_clust	p_cons	p_joint	p	q
8151	PTGIS	prostaglandin I2 (prostacyclin) synthase	267081	2	2	2	0	1	1	0	0	0	0	0.324	0.483	0.378	0.600	0.867	0.638	1.000
8152	NDUFAF1	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, assembly factor 1	179653	1	1	1	0	0	0	0	0	1	0	0.638	0.777	NaN	NaN	NaN	0.638	1.000
8153	ACTB	actin, beta	211993	2	2	2	0	1	0	0	0	1	0	0.281	0.657	0.680	0.948	1.000	0.638	1.000
8154	ZSWIM1	zinc finger, SWIM-type containing 1	269482	1	1	1	1	0	1	0	0	0	0	0.638	0.903	NaN	NaN	NaN	0.638	1.000
8155	ELL3	elongation factor RNA polymerase II-like 3	213837	1	1	1	1	0	1	0	0	0	0	0.638	0.938	NaN	NaN	NaN	0.638	1.000
8156	BGN	biglycan	198047	1	1	1	0	1	0	0	0	0	0	0.638	0.710	NaN	NaN	NaN	0.638	1.000
8157	SLC24A5	solute carrier family 24, member 5	279227	1	1	1	0	0	1	0	0	0	0	0.638	0.801	NaN	NaN	NaN	0.638	1.000
8158	APOA4	apolipoprotein A-IV	198952	1	1	1	0	1	0	0	0	0	0	0.638	0.680	NaN	NaN	NaN	0.638	1.000
8159	CALCRL	calcitonin receptor-like	258630	1	1	1	1	0	1	0	0	0	0	0.638	0.947	NaN	NaN	NaN	0.638	1.000
8160	ZEB1	zinc finger E-box binding homeobox 1	607824	6	6	6	4	0	3	1	1	1	0	0.882	0.943	0.257	0.363	0.319	0.638	1.000
8161	ZNF225	zinc finger protein 225	393335	1	1	1	0	0	0	0	0	1	0	0.638	0.787	NaN	NaN	NaN	0.638	1.000
8162	UNC13D	unc-13 homolog D (C. elegans)	586845	2	2	2	1	1	1	0	0	0	0	0.851	0.731	0.343	0.478	0.331	0.638	1.000
8163	BBS9	Bardet-Biedl syndrome 9	504082	4	4	4	1	0	2	2	0	0	0	0.282	0.668	0.963	0.394	1.000	0.639	1.000
8164	FUT1	fucosyltransferase 1 (galactoside 2-alpha-L-fucosyltransferase, H blood group)	197418	1	1	1	0	1	0	0	0	0	0	0.639	0.691	NaN	NaN	NaN	0.639	1.000
8165	ZGLP1	zinc finger, GATA-like protein 1	151943	1	1	1	0	1	0	0	0	0	0	0.639	0.697	NaN	NaN	NaN	0.639	1.000
8166	CKM	creatine kinase, muscle	216181	1	1	1	0	1	0	0	0	0	0	0.639	0.710	NaN	NaN	NaN	0.639	1.000
8167	TCP11	t-complex 11 homolog (mouse)	265806	1	1	1	0	0	1	0	0	0	0	0.639	0.716	NaN	NaN	NaN	0.639	1.000
8168	RNPS1	RNA binding protein S1, serine-rich domain	168217	1	1	1	0	0	1	0	0	0	0	0.639	0.703	NaN	NaN	NaN	0.639	1.000
8169	SIGLEC9	sialic acid binding Ig-like lectin 9	260490	2	2	2	1	1	1	0	0	0	0	0.282	0.750	0.757	0.981	1.000	0.639	1.000
8170	SLC26A10	solute carrier family 26, member 10	288033	1	1	1	0	1	0	0	0	0	0	0.639	0.627	NaN	NaN	NaN	0.639	1.000
8171	PLXNA3	plexin A3	925628	2	2	2	1	0	1	0	1	0	0	0.969	0.787	0.284	0.227	0.292	0.640	1.000
8172	RBBP5	retinoblastoma binding protein 5	305117	2	2	2	0	1	1	0	0	0	0	0.282	0.496	0.482	0.889	1.000	0.640	1.000
8173	ONECUT2	one cut homeobox 2	172521	1	1	1	1	1	0	0	0	0	0	0.640	0.893	NaN	NaN	NaN	0.640	1.000
8174	SEMA3G	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3G	396536	3	3	3	2	0	1	0	0	2	0	0.578	0.909	0.314	0.995	0.489	0.640	1.000
8175	TEAD1	TEA domain family member 1 (SV40 transcriptional enhancer factor)	243891	1	1	1	0	0	1	0	0	0	0	0.640	0.759	NaN	NaN	NaN	0.640	1.000
8176	PRC1	protein regulator of cytokinesis 1	352670	1	1	1	0	0	0	0	1	0	0	0.640	0.865	NaN	NaN	NaN	0.640	1.000
8177	ATF7	activating transcription factor 7	264576	1	1	1	1	0	0	0	0	1	0	0.640	0.935	NaN	NaN	NaN	0.640	1.000
8178	CHRM4	cholinergic receptor, muscarinic 4	257336	2	2	2	1	0	2	0	0	0	0	0.412	0.675	0.270	0.647	0.686	0.640	1.000
8179	DEGS2	degenerative spermatocyte homolog 2, lipid desaturase (Drosophila)	153701	1	1	1	0	1	0	0	0	0	0	0.640	0.665	NaN	NaN	NaN	0.640	1.000
8180	MDM4	Mdm4 p53 binding protein homolog (mouse)	276280	1	1	1	0	0	0	0	0	1	0	0.640	0.819	NaN	NaN	NaN	0.640	1.000
8181	GGA2	golgi associated, gamma adaptin ear containing, ARF binding protein 2	317221	1	1	1	0	0	0	1	0	0	0	0.640	0.774	NaN	NaN	NaN	0.640	1.000
8182	SCARF1	scavenger receptor class F, member 1	353078	2	2	2	1	1	1	0	0	0	0	0.583	0.829	0.101	0.859	0.486	0.640	1.000
8183	CDKL3	cyclin-dependent kinase-like 3	333467	1	1	1	0	0	1	0	0	0	0	0.640	0.816	NaN	NaN	NaN	0.640	1.000
8184	ELAC2	elaC homolog 2 (E. coli)	404210	2	2	2	0	0	0	0	1	1	0	0.441	0.847	0.210	0.969	0.643	0.641	1.000
8185	FMOD	fibromodulin	203910	2	2	2	0	1	0	0	0	1	0	0.328	0.705	0.190	0.893	0.863	0.641	1.000
8186	FUBP1	far upstream element (FUSE) binding protein 1	364916	3	3	3	0	0	0	1	0	2	0	0.283	0.637	0.984	0.924	1.000	0.641	1.000
8187	UNKL	unkempt homolog (Drosophila)-like	263242	3	3	3	1	3	0	0	0	0	0	0.283	0.686	0.956	0.682	1.000	0.641	1.000
8188	PFKFB4	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4	258076	1	1	1	0	0	1	0	0	0	0	0.641	0.661	NaN	NaN	NaN	0.641	1.000
8189	NPTN	neuroplastin	205039	1	1	1	0	1	0	0	0	0	0	0.641	0.686	NaN	NaN	NaN	0.641	1.000
8190	MIER1	mesoderm induction early response 1 homolog (Xenopus laevis)	339194	1	1	1	0	0	0	0	0	1	0	0.641	0.863	NaN	NaN	NaN	0.641	1.000
8191	RGMB	RGM domain family, member B	202079	1	1	1	1	0	1	0	0	0	0	0.641	0.915	NaN	NaN	NaN	0.641	1.000
8192	PARD6B	par-6 partitioning defective 6 homolog beta (C. elegans)	192676	2	1	2	0	0	1	0	1	0	0	0.414	0.666	0.281	0.636	0.685	0.641	1.000
8193	CLEC4M	C-type lectin domain family 4, member M	229459	2	1	2	0	0	2	0	0	0	0	0.583	0.484	0.118	0.607	0.487	0.641	1.000
8194	ZNF658	zinc finger protein 658	536655	2	2	2	0	0	1	0	0	1	0	0.641	0.793	NaN	NaN	NaN	0.641	1.000
8195	CCDC102A	coiled-coil domain containing 102A	180654	1	1	1	1	1	0	0	0	0	0	0.642	0.898	NaN	NaN	NaN	0.642	1.000
8196	GALNT11	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 11 (GalNAc-T11)	334123	1	1	1	0	1	0	0	0	0	0	0.642	0.697	NaN	NaN	NaN	0.642	1.000
8197	SDAD1	SDA1 domain containing 1	390268	1	1	1	0	0	0	1	0	0	0	0.642	0.772	NaN	NaN	NaN	0.642	1.000
8198	SLC22A3	solute carrier family 22 (extraneuronal monoamine transporter), member 3	268306	1	1	1	0	0	1	0	0	0	0	0.642	0.708	NaN	NaN	NaN	0.642	1.000
8199	KCND1	potassium voltage-gated channel, Shal-related subfamily, member 1	292985	1	1	1	0	1	0	0	0	0	0	0.642	0.729	NaN	NaN	NaN	0.642	1.000
8200	IFFO1	intermediate filament family orphan 1	263816	2	2	2	1	1	0	0	1	0	0	0.348	0.896	0.0503	0.188	0.818	0.642	1.000
8201	TUBA1C	tubulin, alpha 1c	250716	1	1	1	0	0	1	0	0	0	0	0.642	0.704	NaN	NaN	NaN	0.642	1.000
8202	MYO1C	myosin IC	571830	3	3	3	1	1	0	1	0	1	0	0.692	0.769	0.369	0.822	0.411	0.642	1.000
8203	CSRNP3	cysteine-serine-rich nuclear protein 3	306520	2	2	2	0	1	0	0	0	1	0	0.533	0.491	0.0960	0.514	0.534	0.642	1.000
8204	DPH2	DPH2 homolog (S. cerevisiae)	256633	1	1	1	0	0	1	0	0	0	0	0.642	0.724	NaN	NaN	NaN	0.642	1.000
8205	SCN11A	sodium channel, voltage-gated, type XI, alpha subunit	960043	8	7	8	2	5	2	0	0	1	0	0.454	0.513	0.469	0.759	0.627	0.642	1.000
8206	KLHL34	kelch-like 34 (Drosophila)	123272	1	1	1	0	0	0	0	0	1	0	0.642	1.000	NaN	NaN	NaN	0.642	1.000
8207	PPP1R16A	protein phosphatase 1, regulatory (inhibitor) subunit 16A	198667	1	1	1	0	0	1	0	0	0	0	0.642	0.672	NaN	NaN	NaN	0.642	1.000
8208	SERPINA3	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 3	228563	1	1	1	0	0	1	0	0	0	0	0.642	0.666	NaN	NaN	NaN	0.642	1.000
8209	CYP4F11	cytochrome P450, family 4, subfamily F, polypeptide 11	299781	1	1	1	0	1	0	0	0	0	0	0.642	0.708	NaN	NaN	NaN	0.642	1.000
8210	UBE4B	ubiquitination factor E4B (UFD2 homolog, yeast)	713518	4	4	4	0	0	2	0	2	0	0	0.589	0.385	0.378	0.711	0.484	0.643	1.000
8211	OTOF	otoferlin	1167240	10	8	10	7	4	3	1	0	2	0	0.989	0.916	0.715	0.0681	0.288	0.643	1.000
8212	ANKRD20A1	ankyrin repeat domain 20 family, member A1	246352	1	1	1	0	0	1	0	0	0	0	0.643	0.809	NaN	NaN	NaN	0.643	1.000
8213	SRCIN1	SRC kinase signaling inhibitor 1	444947	4	4	4	0	2	1	0	1	0	0	0.366	0.250	0.599	0.814	0.780	0.643	1.000
8214	CPA6	carboxypeptidase A6	249258	1	1	1	0	0	1	0	0	0	0	0.643	0.781	NaN	NaN	NaN	0.643	1.000
8215	ATCAY	ataxia, cerebellar, Cayman type (caytaxin)	213466	2	2	2	1	1	0	0	1	0	0	0.285	0.811	0.590	0.178	1.000	0.643	1.000
8216	NRCAM	neuronal cell adhesion molecule	730816	4	4	4	1	1	2	1	0	0	0	0.395	0.642	0.945	0.150	0.721	0.643	1.000
8217	UGT1A10	UDP glucuronosyltransferase 1 family, polypeptide A10	297253	1	1	1	0	0	0	1	0	0	0	0.643	0.771	NaN	NaN	NaN	0.643	1.000
8218	PES1	pescadillo homolog 1, containing BRCT domain (zebrafish)	316146	2	2	2	1	1	1	0	0	0	0	0.524	0.766	0.473	0.0354	0.544	0.643	1.000
8219	ITLN1	intelectin 1 (galactofuranose binding)	173986	1	1	1	0	0	0	0	0	1	0	0.643	1.000	NaN	NaN	NaN	0.643	1.000
8220	DMTF1	cyclin D binding myb-like transcription factor 1	425627	4	3	4	0	0	1	1	0	2	0	0.286	0.584	0.805	0.827	1.000	0.643	1.000
8221	GLB1L3	galactosidase, beta 1-like 3	352527	5	5	5	3	1	1	1	1	1	0	0.711	0.874	0.326	0.269	0.402	0.644	1.000
8222	TMLHE	trimethyllysine hydroxylase, epsilon	214826	1	1	1	0	0	1	0	0	0	0	0.644	0.746	NaN	NaN	NaN	0.644	1.000
8223	FAM53C	family with sequence similarity 53, member C	198105	2	2	2	1	0	2	0	0	0	0	0.286	0.796	0.269	0.757	1.000	0.644	1.000
8224	FGL2	fibrinogen-like 2	235111	1	1	1	1	0	1	0	0	0	0	0.644	0.940	NaN	NaN	NaN	0.644	1.000
8225	CACNA1S	calcium channel, voltage-dependent, L type, alpha 1S subunit	1041065	5	5	5	2	1	2	1	0	1	0	0.892	0.694	0.193	0.784	0.321	0.644	1.000
8226	LPCAT2	lysophosphatidylcholine acyltransferase 2	280174	2	2	2	0	0	0	0	1	1	0	0.286	0.601	0.461	0.467	1.000	0.644	1.000
8227	LYAR	Ly1 antibody reactive homolog (mouse)	206988	1	1	1	0	0	0	1	0	0	0	0.644	0.792	NaN	NaN	NaN	0.644	1.000
8228	CCNB3	cyclin B3	666487	3	3	3	0	0	1	0	0	2	0	0.663	0.478	0.398	0.242	0.431	0.644	1.000
8229	JAK1	Janus kinase 1 (a protein tyrosine kinase)	653503	3	3	3	0	0	1	1	1	0	0	0.617	0.499	0.355	0.505	0.464	0.644	1.000
8230	NUBPL	nucleotide binding protein-like	182482	1	1	1	0	0	1	0	0	0	0	0.644	0.817	NaN	NaN	NaN	0.644	1.000
8231	CPSF7	cleavage and polyadenylation specific factor 7, 59kDa	280358	2	2	2	0	0	1	1	0	0	0	0.490	0.530	0.201	0.772	0.584	0.644	1.000
8232	SSB	Sjogren syndrome antigen B (autoantigen La)	230594	1	1	1	0	0	1	0	0	0	0	0.644	0.827	NaN	NaN	NaN	0.644	1.000
8233	SGCA	sarcoglycan, alpha (50kDa dystrophin-associated glycoprotein)	211087	1	1	1	0	0	1	0	0	0	0	0.644	0.670	NaN	NaN	NaN	0.644	1.000
8234	HHLA1	HERV-H LTR-associating 1	302062	1	1	1	0	0	1	0	0	0	0	0.644	0.758	NaN	NaN	NaN	0.644	1.000
8235	LRP3	low density lipoprotein receptor-related protein 3	255395	1	1	1	1	1	0	0	0	0	0	0.644	0.895	NaN	NaN	NaN	0.644	1.000
8236	PLAT	plasminogen activator, tissue	314356	1	1	1	1	0	0	0	0	1	0	0.644	0.895	NaN	NaN	NaN	0.644	1.000
8237	DNAJC21	DnaJ (Hsp40) homolog, subfamily C, member 21	318873	1	1	1	0	0	0	0	1	0	0	0.644	0.891	NaN	NaN	NaN	0.644	1.000
8238	PRKAA2	protein kinase, AMP-activated, alpha 2 catalytic subunit	308481	1	1	1	0	0	0	1	0	0	0	0.644	0.731	NaN	NaN	NaN	0.644	1.000
8239	CA14	carbonic anhydrase XIV	194693	2	2	2	1	0	0	0	0	2	0	0.287	0.943	0.624	0.923	1.000	0.645	1.000
8240	MFSD5	major facilitator superfamily domain containing 5	292747	1	1	1	1	0	1	0	0	0	0	0.645	0.898	NaN	NaN	NaN	0.645	1.000
8241	AADACL2	arylacetamide deacetylase-like 2	225744	1	1	1	0	0	1	0	0	0	0	0.645	0.821	NaN	NaN	NaN	0.645	1.000
8242	TADA2A	transcriptional adaptor 2A	272732	2	2	2	0	0	2	0	0	0	0	0.303	0.576	0.728	0.269	0.948	0.645	1.000
8243	PLIN2	perilipin 2	231220	1	1	1	1	0	1	0	0	0	0	0.645	0.921	NaN	NaN	NaN	0.645	1.000
8244	POU2F1	POU class 2 homeobox 1	418107	2	2	2	1	0	1	0	1	0	0	0.540	0.820	0.145	0.889	0.531	0.645	1.000
8245	TAB1	TGF-beta activated kinase 1/MAP3K7 binding protein 1	296912	2	2	2	0	1	0	0	0	1	0	0.440	0.453	0.533	0.476	0.652	0.645	1.000
8246	WSB1	WD repeat and SOCS box-containing 1	240250	1	1	1	0	0	1	0	0	0	0	0.645	0.820	NaN	NaN	NaN	0.645	1.000
8247	PRAME	preferentially expressed antigen in melanoma	279707	1	1	1	0	0	0	0	0	1	0	0.645	0.675	NaN	NaN	NaN	0.645	1.000
8248	GSDMD	gasdermin D	249833	1	1	1	0	1	0	0	0	0	0	0.645	0.637	NaN	NaN	NaN	0.645	1.000
8249	ADSSL1	adenylosuccinate synthase like 1	287162	1	1	1	0	0	0	0	0	1	0	0.645	1.000	NaN	NaN	NaN	0.645	1.000
8250	C9orf91	chromosome 9 open reading frame 91	194855	1	1	1	0	0	0	1	0	0	0	0.646	0.784	NaN	NaN	NaN	0.646	1.000
8251	MARCH10	membrane-associated ring finger (C3HC4) 10	446992	3	3	3	0	0	1	0	0	2	0	0.340	0.428	0.540	0.835	0.846	0.646	1.000
8252	DAXX	death-associated protein 6	406139	3	3	3	0	0	0	1	1	1	0	0.287	0.450	0.514	0.812	1.000	0.646	1.000
8253	SERPINH1	serpin peptidase inhibitor, clade H (heat shock protein 47), member 1, (collagen binding protein 1)	216619	1	1	1	0	0	1	0	0	0	0	0.646	0.627	NaN	NaN	NaN	0.646	1.000
8254	ERAP2	endoplasmic reticulum aminopeptidase 2	543026	3	3	3	0	0	2	0	0	1	0	0.480	0.450	0.947	0.197	0.599	0.646	1.000
8255	ILF2	interleukin enhancer binding factor 2, 45kDa	224515	2	2	2	0	0	2	0	0	0	0	0.292	0.573	0.635	0.677	0.985	0.646	1.000
8256	KRT5	keratin 5 (epidermolysis bullosa simplex, Dowling-Meara/Kobner/Weber-Cockayne types)	331923	1	1	1	0	0	0	1	0	0	0	0.646	0.812	NaN	NaN	NaN	0.646	1.000
8257	TRIM21	tripartite motif-containing 21	260190	1	1	1	0	0	1	0	0	0	0	0.646	0.717	NaN	NaN	NaN	0.646	1.000
8258	SLIT2	slit homolog 2 (Drosophila)	857635	11	9	11	4	1	4	2	2	2	0	0.621	0.768	0.691	0.225	0.463	0.646	1.000
8259	CKB	creatine kinase, brain	193949	2	2	2	0	1	1	0	0	0	0	0.288	0.404	0.934	0.535	1.000	0.646	1.000
8260	PLEKHO2	pleckstrin homology domain containing, family O member 2	263769	1	1	1	1	0	0	0	0	1	0	0.646	1.000	NaN	NaN	NaN	0.646	1.000
8261	MFGE8	milk fat globule-EGF factor 8 protein	206680	1	1	1	0	0	1	0	0	0	0	0.646	0.659	NaN	NaN	NaN	0.646	1.000
8262	CARS2	cysteinyl-tRNA synthetase 2, mitochondrial (putative)	278985	2	2	2	0	1	1	0	0	0	0	0.387	0.466	0.580	0.609	0.745	0.647	1.000
8263	HS3ST3A1	heparan sulfate (glucosamine) 3-O-sulfotransferase 3A1	169618	2	2	2	0	1	0	1	0	0	0	0.288	0.585	0.499	0.815	1.000	0.647	1.000
8264	SLC29A1	solute carrier family 29 (nucleoside transporters), member 1	243485	2	2	2	1	0	0	1	0	1	0	0.288	0.799	0.828	0.753	1.000	0.647	1.000
8265	ZNF394	zinc finger protein 394	313529	1	1	1	1	0	0	0	1	0	0	0.647	0.970	NaN	NaN	NaN	0.647	1.000
8266	B4GALT5	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 5	216660	1	1	1	0	0	1	0	0	0	0	0.647	0.721	NaN	NaN	NaN	0.647	1.000
8267	INO80	INO80 homolog (S. cerevisiae)	865654	4	4	4	0	1	2	1	0	0	0	0.683	0.317	0.288	0.585	0.423	0.647	1.000
8268	FUT4	fucosyltransferase 4 (alpha (1,3) fucosyltransferase, myeloid-specific)	149089	1	1	1	0	1	0	0	0	0	0	0.647	0.674	NaN	NaN	NaN	0.647	1.000
8269	ANO2	anoctamin 2	565016	5	5	5	2	1	2	0	1	1	0	0.530	0.729	0.411	0.346	0.544	0.647	1.000
8270	PRKD1	protein kinase D1	467038	7	7	7	4	1	1	3	0	2	0	0.573	0.888	0.319	0.944	0.503	0.647	1.000
8271	LRP11	low density lipoprotein receptor-related protein 11	171006	1	1	1	0	0	0	0	0	1	0	0.647	0.660	NaN	NaN	NaN	0.647	1.000
8272	MMP3	matrix metallopeptidase 3 (stromelysin 1, progelatinase)	270209	1	1	1	0	0	1	0	0	0	0	0.647	0.777	NaN	NaN	NaN	0.647	1.000
8273	NAGPA	N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase	196243	2	2	2	0	0	2	0	0	0	0	0.290	0.471	0.359	0.490	0.997	0.647	1.000
8274	CEP350	centrosomal protein 350kDa	1716634	7	7	7	1	1	1	2	1	2	0	0.694	0.490	0.758	0.130	0.416	0.648	1.000
8275	TAF1	TAF1 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 250kDa	1046156	5	5	5	1	2	2	0	1	0	0	0.575	0.613	0.344	0.759	0.502	0.648	1.000
8276	RBBP6	retinoblastoma binding protein 6	915991	8	7	8	2	1	3	2	1	1	0	0.649	0.679	0.264	0.996	0.445	0.648	1.000
8277	CSNK1E	casein kinase 1, epsilon	191038	1	1	1	0	1	0	0	0	0	0	0.648	0.694	NaN	NaN	NaN	0.648	1.000
8278	ZNF419	zinc finger protein 419	285111	1	1	1	0	0	0	1	0	0	0	0.648	0.744	NaN	NaN	NaN	0.648	1.000
8279	TIA1	TIA1 cytotoxic granule-associated RNA binding protein	224064	1	1	1	0	0	1	0	0	0	0	0.648	0.848	NaN	NaN	NaN	0.648	1.000
8280	SAE1	SUMO1 activating enzyme subunit 1	212793	2	2	2	0	0	0	0	0	2	0	0.289	0.865	0.437	0.181	1.000	0.648	1.000
8281	MTHFD2	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase	194606	2	2	2	0	1	1	0	0	0	0	0.289	0.537	0.703	0.837	1.000	0.648	1.000
8282	RTN4IP1	reticulon 4 interacting protein 1	209092	1	1	1	0	0	0	1	0	0	0	0.648	0.708	NaN	NaN	NaN	0.648	1.000
8283	ACTG2	actin, gamma 2, smooth muscle, enteric	214775	2	2	2	0	1	1	0	0	0	0	0.290	0.501	0.941	0.616	1.000	0.648	1.000
8284	C16orf70	chromosome 16 open reading frame 70	244915	1	1	1	1	0	1	0	0	0	0	0.648	0.942	NaN	NaN	NaN	0.648	1.000
8285	AGPAT6	1-acylglycerol-3-phosphate O-acyltransferase 6 (lysophosphatidic acid acyltransferase, zeta)	260910	1	1	1	1	1	0	0	0	0	0	0.648	0.901	NaN	NaN	NaN	0.648	1.000
8286	CACNG8	calcium channel, voltage-dependent, gamma subunit 8	139976	2	2	2	1	1	0	0	1	0	0	0.290	0.772	0.442	0.577	1.000	0.649	1.000
8287	FLAD1	FAD1 flavin adenine dinucleotide synthetase homolog (S. cerevisiae)	357288	1	1	1	1	0	0	1	0	0	0	0.649	0.927	NaN	NaN	NaN	0.649	1.000
8288	PTGER3	prostaglandin E receptor 3 (subtype EP3)	243781	1	1	1	1	0	0	1	0	0	0	0.649	0.942	NaN	NaN	NaN	0.649	1.000
8289	TBX19	T-box 19	247622	2	2	2	0	2	0	0	0	0	0	0.290	0.379	0.469	0.418	1.000	0.649	1.000
8290	THAP9	THAP domain containing 9	495718	3	3	3	0	0	1	0	2	0	0	0.290	0.592	0.756	0.715	1.000	0.649	1.000
8291	STK38	serine/threonine kinase 38	265690	2	2	2	0	0	2	0	0	0	0	0.290	0.614	0.0603	0.993	1.000	0.649	1.000
8292	ELK4	ELK4, ETS-domain protein (SRF accessory protein 1)	267180	1	1	1	0	0	0	1	0	0	0	0.649	0.728	NaN	NaN	NaN	0.649	1.000
8293	CDK11A	cyclin-dependent kinase 11A	288370	2	2	2	1	0	1	1	0	0	0	0.290	0.899	0.704	0.647	1.000	0.649	1.000
8294	ZNF75D	zinc finger protein 75D	267906	1	1	1	0	0	0	1	0	0	0	0.649	0.749	NaN	NaN	NaN	0.649	1.000
8295	BCCIP	BRCA2 and CDKN1A interacting protein	221271	1	1	1	0	0	0	0	1	0	0	0.649	0.861	NaN	NaN	NaN	0.649	1.000
8296	VAV3	vav 3 guanine nucleotide exchange factor	491621	2	2	2	0	0	1	1	0	0	0	0.680	0.592	0.217	0.261	0.427	0.649	1.000
8297	WDR60	WD repeat domain 60	555955	3	3	3	1	1	2	0	0	0	0	0.543	0.707	0.716	0.250	0.535	0.649	1.000
8298	SLC17A8	solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 8	326335	1	1	1	0	0	1	0	0	0	0	0.649	0.758	NaN	NaN	NaN	0.649	1.000
8299	FBXO11	F-box protein 11	506777	3	3	3	0	0	0	0	0	3	0	0.290	0.846	0.996	0.909	1.000	0.650	1.000
8300	PPP2R2A	protein phosphatase 2 (formerly 2A), regulatory subunit B, alpha isoform	253963	1	1	1	0	0	1	0	0	0	0	0.650	0.805	NaN	NaN	NaN	0.650	1.000
8301	CREB3L2	cAMP responsive element binding protein 3-like 2	287425	1	1	1	1	1	0	0	0	0	0	0.650	0.882	NaN	NaN	NaN	0.650	1.000
8302	IFFO2	intermediate filament family orphan 2	167117	1	1	1	0	1	0	0	0	0	0	0.650	0.651	NaN	NaN	NaN	0.650	1.000
8303	FAF1	Fas (TNFRSF6) associated factor 1	369435	3	3	3	0	1	0	0	1	1	0	0.291	0.616	0.776	0.775	1.000	0.650	1.000
8304	GCK	glucokinase (hexokinase 4)	234362	1	1	1	0	1	0	0	0	0	0	0.650	0.663	NaN	NaN	NaN	0.650	1.000
8305	ELFN2	extracellular leucine-rich repeat and fibronectin type III domain containing 2	414473	4	4	4	1	3	1	0	0	0	0	0.325	0.386	0.751	0.524	0.896	0.650	1.000
8306	SLC41A2	solute carrier family 41, member 2	320310	1	1	1	0	0	1	0	0	0	0	0.650	0.819	NaN	NaN	NaN	0.650	1.000
8307	CHRNA7	cholinergic receptor, nicotinic, alpha 7	191823	1	1	1	1	1	0	0	0	0	0	0.650	0.881	NaN	NaN	NaN	0.650	1.000
8308	FOXD4	forkhead box D4	243782	1	1	1	0	1	0	0	0	0	0	0.650	0.651	NaN	NaN	NaN	0.650	1.000
8309	HHAT	hedgehog acyltransferase	298642	1	1	1	0	0	0	1	0	0	0	0.650	0.819	NaN	NaN	NaN	0.650	1.000
8310	STX18	syntaxin 18	190428	1	1	1	0	0	1	0	0	0	0	0.651	0.749	NaN	NaN	NaN	0.651	1.000
8311	IGF2	insulin-like growth factor 2 (somatomedin A)	131232	1	1	1	0	1	0	0	0	0	0	0.651	0.698	NaN	NaN	NaN	0.651	1.000
8312	CWC27	CWC27 spliceosome-associated protein homolog (S. cerevisiae)	254987	2	2	2	0	0	1	0	0	1	0	0.375	0.832	0.676	0.466	0.776	0.651	1.000
8313	UCP3	uncoupling protein 3 (mitochondrial, proton carrier)	170395	2	2	2	0	1	0	1	0	0	0	0.291	0.557	0.550	0.663	1.000	0.651	1.000
8314	ILKAP	integrin-linked kinase-associated serine/threonine phosphatase 2C	206641	1	1	1	0	0	1	0	0	0	0	0.651	0.737	NaN	NaN	NaN	0.651	1.000
8315	DALRD3	DALR anticodon binding domain containing 3	210619	1	1	1	0	0	1	0	0	0	0	0.651	0.696	NaN	NaN	NaN	0.651	1.000
8316	LMBRD2	LMBR1 domain containing 2	384134	1	1	1	0	0	0	0	0	1	0	0.651	0.815	NaN	NaN	NaN	0.651	1.000
8317	NTNG1	netrin G1	306482	1	1	1	0	1	0	0	0	0	0	0.651	0.648	NaN	NaN	NaN	0.651	1.000
8318	FECH	ferrochelatase (protoporphyria)	229134	1	1	1	0	0	1	0	0	0	0	0.651	0.741	NaN	NaN	NaN	0.651	1.000
8319	IGSF8	immunoglobulin superfamily, member 8	321225	1	1	1	0	0	0	1	0	0	0	0.652	0.723	NaN	NaN	NaN	0.652	1.000
8320	GALNT9	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 9 (GalNAc-T9)	311821	3	3	3	0	1	0	0	1	1	0	0.292	0.391	0.941	0.509	1.000	0.652	1.000
8321	INHA	inhibin, alpha	191226	1	1	1	0	0	0	0	1	0	0	0.652	0.790	NaN	NaN	NaN	0.652	1.000
8322	RANBP9	RAN binding protein 9	297485	1	1	1	0	0	0	0	0	1	0	0.652	1.000	NaN	NaN	NaN	0.652	1.000
8323	PHYHIP	phytanoyl-CoA 2-hydroxylase interacting protein	179950	1	1	1	0	0	0	1	0	0	0	0.652	0.927	NaN	NaN	NaN	0.652	1.000
8324	KRT18	keratin 18	231042	2	2	2	0	0	0	1	0	1	0	0.292	0.835	0.454	0.887	1.000	0.652	1.000
8325	TPM2	tropomyosin 2 (beta)	193570	1	1	1	0	0	1	0	0	0	0	0.652	0.667	NaN	NaN	NaN	0.652	1.000
